title,artist,category,image_file,lev_bas,lev_adv,lev_exp,lev_mas,lev_remas,version
【東方ニコカラ】秘神マターラ feat.魂音泉【IOSYS】,ARM (IOSYS),東方Project,7976c89ece464bf4.png,4,7,10+,12+,,FiNALE
不思議の国のクリスマス,SOUND HOLIC feat. 3L,東方Project,e2a698778e071a7d.png,4,5,8+,12+,,FiNALE
INFINITE WORLD,SOUND HOLIC feat. Nana Takahashi,東方Project,59c2f22023c4e226.png,4,7,9+,11+,,MiLK PLUS
Grip & Break down !!,SOUND HOLIC feat. Nana Takahashi,東方Project,3cdafcda11978c26.png,5,7,9,13,,maimaiDX 2023
Cosmic Magic Shooter,SOUND HOLIC feat. Nana Takahashi,東方Project,dfdf63e57f5e127a.png,4,7,9+,13,,ORANGE
しゅわスパ大作戦☆,SOUND HOLIC feat. Nana Takahashi,東方Project,cd787bcc1dc248f7.png,5,6,8+,12,,GreeN
全人類ノ非想天則,SOUND HOLIC feat. 匠眞,東方Project,c2c39366181de9d6.png,4,7,9,12+,,GreeN
"Endless, Sleepless Night",samfree feat.(V)・∀・(V)かにぱん。(A-ONE),東方Project,fba94ed765e1c00b.png,4,7,9+,13,,GreeN PLUS
White Traveling Girl,A-One,東方Project,f4e6668d9705ccac.png,4,6,9+,12+,,FiNALE
No Routine,A-One,東方Project,46bac269db259dfe.png,5,6,10,12+,,PiNK PLUS
Scream out! -maimai SONIC WASHER Edit-,A-One,東方Project,449641589ac0c22f.png,4,7,10+,12+,,MURASAKi
